Enabled,Id,Type,Class,Rarity,Level,Price,Weight,SpriteId,IconId,Tags,Meta,Name_EN
TRUE,Extensions.Epic.Armor.AngelicDress.vest,VestBeltPauldron,Light,Common,1,0,0,Extensions.Epic.Armor.AngelicDress,Extensions.Epic.Vest.AngelicDress,,,AngelicDress (Vest)
TRUE,Extensions.Epic.Armor.AngelicDress.gloves,Gloves,Light,Common,1,0,0,Extensions.Epic.Armor.AngelicDress,Extensions.Epic.Gloves.AngelicDress,,,AngelicDress (Gloves)
TRUE,Extensions.Epic.Armor.AngelicDress.boots,Boots,Light,Common,1,0,0,Extensions.Epic.Armor.AngelicDress,Extensions.Epic.Boots.AngelicDress,,,AngelicDress (Boots)
TRUE,Extensions.Epic.Armor.AngelicDressTypeB.vest,VestBeltPauldron,Light,Common,1,0,0,Extensions.Epic.Armor.AngelicDressTypeB,Extensions.Epic.Vest.AngelicDressTypeB,,,AngelicDressTypeB (Vest)
TRUE,Extensions.Epic.Armor.AngelicDressTypeB.gloves,Gloves,Light,Common,1,0,0,Extensions.Epic.Armor.AngelicDressTypeB,Extensions.Epic.Gloves.AngelicDressTypeB,,,AngelicDressTypeB (Gloves)
TRUE,Extensions.Epic.Armor.AngelicDressTypeB.boots,Boots,Light,Common,1,0,0,Extensions.Epic.Armor.AngelicDressTypeB,Extensions.Epic.Boots.AngelicDressTypeB,,,AngelicDressTypeB (Boots)
TRUE,Extensions.AbandonedWorkshop.Armor.ArcaneRobe.vest,VestBeltPauldron,Light,Common,1,0,0,Extensions.AbandonedWorkshop.Armor.ArcaneRobe,Extensions.AbandonedWorkshop.Vest.ArcaneRobe,,,ArcaneRobe (Vest)
TRUE,Extensions.AbandonedWorkshop.Armor.ArcaneRobe.gloves,Gloves,Light,Common,1,0,0,Extensions.AbandonedWorkshop.Armor.ArcaneRobe,Extensions.AbandonedWorkshop.Gloves.ArcaneRobe,,,ArcaneRobe (Gloves)
TRUE,Extensions.AbandonedWorkshop.Armor.ArcaneRobe.boots,Boots,Light,Common,1,0,0,Extensions.AbandonedWorkshop.Armor.ArcaneRobe,Extensions.AbandonedWorkshop.Boots.ArcaneRobe,,,ArcaneRobe (Boots)
TRUE,FantasyHeroes.Basic.Armor.ArielDress [Paint].vest,VestBeltPauldron,Light,Common,1,0,0,FantasyHeroes.Basic.Armor.ArielDress [Paint],FantasyHeroes.Basic.Vest.ArielDress [Paint],,,ArielDress [Paint] (Vest)
